track_id,title,artist,album,release_date,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
SPO0001,Midnight Echoes,Luna Vale,Nocturnal Paths,2021-08-13,214000,72,0.68,0.74,-6.2,0.04,0.12,0.0001,0.12,0.55,118.5,Indie Pop
SPO0002,Golden Hour Drive,River & The Run,Sunset Lines,2019-05-24,187500,65,0.72,0.66,-7.1,0.045,0.18,3e-05,0.08,0.62,124.0,Indie Rock
SPO0003,Pulse of the City,Neon Atlas,Concrete Hearts,2020-11-02,201200,80,0.81,0.88,-4.5,0.05,0.02,0.0,0.15,0.48,128.7,Electronic
SPO0004,Paper Boats,Asha Verma,Little Things,2016-02-19,163400,58,0.54,0.4,-10.3,0.035,0.62,0.0002,0.11,0.34,92.3,Singer-Songwriter
SPO0005,Neon Samurai,Kaito Nomura,Blade Dreams,2022-07-01,246000,77,0.63,0.92,-3.8,0.055,0.01,0.0025,0.09,0.41,140.2,Electronic
SPO0006,Saffron Sky,The Marigolds,Fields,2018-09-10,199800,60,0.49,0.52,-8.9,0.034,0.45,0.0,0.21,0.5,104.6,Folk
SPO0007,Backseat Confessions,Jonah Hale,Confessions,2015-04-03,233000,54,0.58,0.61,-9.6,0.067,0.3,1e-05,0.16,0.47,110.0,Pop
SPO0008,Orbiting Hearts,Celeste Raye,Gravity,2023-03-18,178900,84,0.75,0.79,-5.4,0.042,0.09,0.0,0.1,0.66,121.4,Synthpop
SPO0009,Rain on Tin Roofs,Old Maple,Porchlight,2014-10-22,142300,46,0.33,0.28,-12.7,0.028,0.78,0.0,0.34,0.22,76.5,Americana
SPO0010,Highwire,Atlas Bloom,Elevation,2020-06-30,210500,71,0.69,0.85,-5.0,0.048,0.07,0.0005,0.13,0.58,132.9,Alternative
SPO0011,Velvet Morning,Sana Mir,Dawn Lines,2021-01-15,155000,67,0.46,0.39,-11.0,0.03,0.54,0.0,0.09,0.36,85.2,Indie Folk
SPO0012,Circuit Breaker,Voltique,Neon Circuits,2017-12-05,192400,63,0.77,0.91,-4.1,0.06,0.02,0.001,0.07,0.44,145.7,EDM
SPO0013,Paper Planes (Demo),M. Reyes,Sketches,2013-07-27,130000,39,0.41,0.33,-13.8,0.095,0.68,0.0,0.25,0.28,98.0,Lo-Fi
SPO0014,Skyline (feat. Arin),Eclipse Drive,Horizons,2024-02-02,220100,90,0.84,0.94,-3.5,0.056,0.03,0.0,0.06,0.71,136.3,Pop
SPO0015,Quiet Harbor,Mira & The Tides,Anchor,2012-11-11,175600,49,0.38,0.29,-14.2,0.025,0.82,0.0,0.3,0.19,70.8,Acoustic
SPO0016,Iron Roads,Coalition,Freight Lines,2018-01-20,205300,57,0.55,0.68,-8.0,0.052,0.15,0.0004,0.18,0.4,116.0,Rock
SPO0017,Moonlight Bazaar,Suri,Midnight Market,2023-11-09,182900,69,0.61,0.57,-7.8,0.038,0.33,0.0,0.22,0.53,101.5,World
SPO0018,Afterglow,Parallel Lines,Reflections,2016-06-06,203700,62,0.74,0.77,-6.0,0.049,0.11,0.0,0.14,0.6,127.2,Electronic
SPO0019,Homebound,Ria & Co.,Maps,2011-03-02,160400,51,0.45,0.42,-11.6,0.029,0.66,0.0,0.2,0.33,88.4,Pop
SPO0020,Stormwater,Harbor Lights,Tide,2014-08-29,228900,55,0.57,0.64,-9.1,0.041,0.28,0.0007,0.17,0.46,109.9,Alternative
